Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 2000 12.91213 26.44216 0 3.9037847
2 1 2000 13.0137 26.4428 0 3.932088799
3 1 2000 12.84127 26.31375 0.33102593 3.691897943
4 1 2000 11.72442 26.14514 0 4.054454371
5 1 2000 12.77908 26.4682 0 4.247119893
6 1 2000 11.38442 26.56448 0 4.257279326
7 1 2000 13.55935 27.27108 0 4.555767699
8 1 2000 12.57513 26.22872 0 4.274105289
9 1 2000 14.808 25.01898 0.166779 3.724901808
10 1 2000 12.6462 21.34237 2.755248 2.907557325
11 1 2000 13.43176 25.40783 0 3.73715592
12 1 2000 13.8824 26.55197 0 4.192994165
13 1 2000 13.5443 27.6426 0 4.554763345
14 1 2000 12.61172 27.0229 0 4.518314789
15 1 2000 11.79043 25.80367 0 4.229594896
16 1 2000 11.95376 27.05825 0 4.413009714
17 1 2000 12.65045 28.04266 0 4.690437219
18 1 2000 13.47006 25.69198 1.069426 3.739989994
19 1 2000 13.32598 24.16232 0 3.813120175
20 1 2000 13.11843 24.87405 0 3.702886727
21 1 2000 13.01052 24.2715 12.259489 3.732321434
22 1 2000 13.43197 26.2814 6.486792 4.145714754
23 1 2000 13.4889 27.32757 0 4.287521831
24 1 2000 13.9133 25.43936 0 4.199397086
25 1 2000 13.5784 26.46438 0 4.810589295
26 1 2000 11.94723 27.25393 0 5.308098324
27 1 2000 10.80367 27.36883 0 5.21180025
28 1 2000 11.57083 27.63754 0 4.99037691
29 1 2000 12.74798 27.9919 0 5.0427358
30 1 2000 12.3204 28.01217 0 4.995303263
31 1 2000 12.58907 27.1323 0 5.000317247
1 2 2000 12.60305 27.50994 0 4.909326754
2 2 2000 13.23287 26.57906 0 4.355150392
3 2 2000 14.62753 26.85177 3.3186016 4.22029705
4 2 2000 14.26827 26.33407 0 4.16462657
5 2 2000 14.80163 26.32943 0 4.386379807
6 2 2000 12.8489 26.76754 0 4.59697886
7 2 2000 13.42202 27.1069 0 4.248561756
8 2 2000 12.23898 25.0046 0 3.824223155
9 2 2000 12.84826 25.25762 5.2710605 3.567010084
10 2 2000 13.6135 26.30126 1.7455711 3.908982123
11 2 2000 13.76687 26.92727 0 4.834261839
12 2 2000 13.15927 28.26882 0 5.232614282
13 2 2000 12.53176 28.83584 0 5.184484199
14 2 2000 14.0762 28.7967 0 4.997148014
15 2 2000 13.61013 28.11205 0 4.9366639
16 2 2000 13.44488 28.2976 0 5.063599109
17 2 2000 13.89443 27.6426 0 4.890845881
18 2 2000 13.70403 27.58547 0 4.880204589
19 2 2000 13.65432 27.29308 0 4.855565284
20 2 2000 12.34536 27.68746 0.36638227 5.406871781
21 2 2000 11.54458 28.58703 0 5.536577358
22 2 2000 13.0958 27.9026 0 5.22155876
23 2 2000 12.03396 27.93032 0 4.681150919
24 2 2000 13.98712 28.6892 0 5.084002053
25 2 2000 14.03304 28.68496 0 4.937379832
26 2 2000 14.37682 26.02413 0.12227368 4.208568399
27 2 2000 14.7426 27.27407 0.41444308 4.537278913
28 2 2000 14.35885 27.96102 2.2907019 4.336955779
29 2 2000 13.4239 22.7148 3.4254076 2.982392185
1 3 2000 13.40554 23.36813 1.5698911 3.223165534
2 3 2000 13.70956 24.00134 0 3.870193335
3 3 2000 12.44186 27.613 0 4.428669116
4 3 2000 14.87295 26.07256 0.2419158 3.807308508
5 3 2000 15.05258 26.11614 0.9607178 4.372872912
6 3 2000 13.597 27.19113 0.116791934 4.461042869
7 3 2000 14.22683 28.00628 10.524152 4.421320954
8 3 2000 14.18557 22.9562 5.339251 3.348354146
9 3 2000 14.26235 23.54733 2.558067 3.185076866
10 3 2000 12.99062 25.98477 1.2958076 3.981401635
11 3 2000 15.01257 26.47665 0.62150794 4.16337061
12 3 2000 12.65975 23.7644 0.02685284 3.375611833
