Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 2000 20.3042 25.98638 0.9843403 4.383171781
2 1 2000 20.5025 26.15807 0.32055733 4.523956376
3 1 2000 21.02917 26.17693 0.29274353 4.375910898
4 1 2000 20.03167 26.49053 0 4.827595977
5 1 2000 20.7198 26.40966 0 4.978217092
6 1 2000 20.4746 26.508 0 4.638074443
7 1 2000 20.93572 27.48092 0 5.088663435
8 1 2000 20.54916 27.01696 0 5.047219215
9 1 2000 19.78613 24.92248 0.27782777 4.118766155
10 1 2000 18.5857 23.30087 5.60065 3.681927873
11 1 2000 18.6634 25.3302 0.038136337 4.20332109
12 1 2000 20.45345 26.41464 0 4.66784238
13 1 2000 20.90414 27.90533 0 5.081569239
14 1 2000 19.5444 26.71118 0.28331658 4.756865116
15 1 2000 19.79055 24.6692 0 4.241989349
16 1 2000 20.05584 26.56658 0 4.732980301
17 1 2000 20.62087 27.83306 0 5.161802569
18 1 2000 21.36993 26.9256 5.956041 4.635962066
19 1 2000 20.78088 24.80355 0.95149916 4.197938685
20 1 2000 19.7704 24.36233 1.6734272 3.981373401
21 1 2000 20.63415 24.6426 6.9746013 4.138363287
22 1 2000 20.4829 27.0187 3.3518534 4.837492513
23 1 2000 20.7128 27.60208 0 4.758072433
24 1 2000 20.9018 25.75103 0 4.318878685
25 1 2000 20.78536 27.76577 0 5.010166764
26 1 2000 20.61535 28.0462 0 5.641426382
27 1 2000 19.5906 28.44897 0 5.991632878
28 1 2000 19.8354 27.96423 0 5.671298627
29 1 2000 20.2208 28.69616 0 5.890705052
30 1 2000 20.97924 27.75115 0 5.513233849
31 1 2000 20.56472 28.1034 0 5.572584921
1 2 2000 20.37573 28.70706 0 6.025510386
2 2 2000 20.51418 25.32635 0 4.496878192
3 2 2000 20.806 25.6386 1.1359837 4.593218753
4 2 2000 20.86773 26.23617 0.43035373 4.704494376
5 2 2000 20.66714 25.99648 0.05462752 4.679743725
6 2 2000 20.3219 26.2559 0 5.027598861
7 2 2000 19.4411 25.93252 0 4.539495102
8 2 2000 19.24417 24.53442 0 4.033441969
9 2 2000 20.03387 25.4058 0 4.447284939
10 2 2000 19.66168 24.7958 1.2600539 4.058040138
11 2 2000 20.26312 27.09237 0 5.230786506
12 2 2000 20.3424 27.98153 0 5.449629146
13 2 2000 20.88748 27.7098 0 5.137533213
14 2 2000 21.16 27.99923 0 5.169978443
15 2 2000 20.80828 28.97128 0 5.971588908
16 2 2000 20.91882 27.86978 0 5.618732361
17 2 2000 21.00097 26.87032 0 5.187142411
18 2 2000 20.68728 27.3296 0 5.299527804
19 2 2000 20.65008 25.80987 1.5176755 4.372703103
20 2 2000 20.42187 29.22613 0 6.122340124
21 2 2000 20.15453 29.23568 0 6.355738728
22 2 2000 20.67742 28.8232 0 5.94859304
23 2 2000 20.36175 27.94583 0 5.386369106
24 2 2000 21.06808 29.33645 0 5.789005726
25 2 2000 21.55685 27.8648 0 5.300282454
26 2 2000 21.4616 25.98678 0 4.692044955
27 2 2000 20.95715 28.1803 0 5.41189053
28 2 2000 21.84747 28.9333 17.754906 5.351191797
29 2 2000 19.76135 23.2714 0.659057 3.276871328
1 3 2000 19.71902 24.47857 3.0502577 4.307448579
2 3 2000 21.03414 25.27752 0 4.555242918
3 3 2000 20.5618 27.81033 3.1249871 5.173274659
4 3 2000 20.97814 26.36797 0 4.4605497
5 3 2000 21.1732 28.22912 12.463383 5.449452293
6 3 2000 21.42678 27.55493 2.1310308 5.256513781
7 3 2000 20.61694 27.25445 11.686202 4.852783316
8 3 2000 19.84725 24.0936 6.5670614 3.655228325
9 3 2000 19.35684 24.7758 8.485888 4.177308085
10 3 2000 20.5152 27.0947 0 5.087914631
11 3 2000 20.8162 26.1148 2.0951045 4.675951073
12 3 2000 20.9504 25.22778 1.5657558 4.440147896
13 3 2000 20.8299 27.6564 1.8827626 5.25129627
14 3 2000 20.635 26.55996 0.25573966 4.634125588
15 3 2000 20.56756 24.98382 6.5219784 4.198939611
16 3 2000 20.54427 25.2423 21.424913 4.38155786
17 3 2000 20.8055 24.91592 6.97657 4.412201116
18 3 2000 21.18932 26.22115 0.33494464 4.75722134
19 3 2000 21.19207 26.40045 5.1605306 4.725686111
20 3 2000 20.59994 25.80184 0.14803521 4.607424544
21 3 2000 21.4327 26.9518 0 5.139363964
22 3 2000 21.82876 29.8286 0 6.194496063
23 3 2000 21.86926 28.6611 0 5.812938415
24 3 2000 19.9358 28.5205 0.6502967 5.105942763
25 3 2000 19.66656 24.06057 10.973445 3.708507688
26 3 2000 19.38284 24.4442 2.8977528 4.019305325
27 3 2000 20.4642 25.08483 0 4.519632499
28 3 2000 20.57656 25.58322 0.6980385 4.45147045
29 3 2000 19.449 26.35354 0.33815727 4.334460788
30 3 2000 19.8858 26.08154 2.8797796 4.334989323
31 3 2000 19.94433 25.39425 6.8153424 4.404121999
1 4 2000 21.0752 26.0959 4.1553435 3.810542393
2 4 2000 20.34463 26.13943 1.9869287 4.12524151
3 4 2000 19.9778 26.2754 0 4.5482802
4 4 2000 19.71584 23.20452 4.1283984 2.419772867
5 4 2000 19.703 23.92465 3.1329083 3.920944934
6 4 2000 19.7794 23.88912 0.0638587 3.853192362
7 4 2000 19.51187 25.82757 2.2894113 4.054727074
8 4 2000 19.41677 24.5573 9.349352 4.180266726
9 4 2000 18.9428 25.77276 5.6292405 4.134307576
10 4 2000 20.1596 25.91775 7.438796 4.514852326
11 4 2000 19.8847 26.1447 14.611008 4.141818753
12 4 2000 20.95397 25.68148 1.8407066 4.504772736
13 4 2000 20.62133 26.5222 0.03405766 4.545297988
14 4 2000 20.0022 25.85742 6.6234136 3.651602215
15 4 2000 20.05306 23.55697 13.636002 2.829789573
16 4 2000 19.69485 24.22207 5.7559214 2.794845929
17 4 2000 20.70284 25.2881 2.1285393 3.700376977
18 4 2000 21.27026 26.36022 0.9540622 4.621789034
19 4 2000 21.38973 27.2162 0 4.911153142
20 4 2000 20.6753 26.4389 0 4.522078885
21 4 2000 21.42266 25.29278 2.0483105 4.14004612
22 4 2000 20.22506 24.07256 9.447751 3.582604657
23 4 2000 20.17507 24.1055 8.941047 3.224746805
24 4 2000 21.02252 25.68463 6.945776 4.238184473
25 4 2000 20.81933 24.23052 12.7427025 3.364806314
26 4 2000 20.4825 26.1351 4.8168836 4.337465999
27 4 2000 19.42065 25.9187 2.0963066 3.7613295
28 4 2000 20.10873 24.67578 8.845482 3.688283921
29 4 2000 20.11947 26.71584 0.21985286 4.362702005
30 4 2000 20.18795 26.45532 9.052346 4.595372813
1 5 2000 19.8478 25.6522 2.913267 4.070063635
2 5 2000 20.53607 25.3384 5.9757633 4.138062617
3 5 2000 20.07858 25.90402 6.448585 4.422601129
4 5 2000 20.86947 26.4771 5.689729 4.551843443
5 5 2000 20.98635 26.81155 6.89996 4.619555449
6 5 2000 20.128 26.50317 4.5908184 3.965233994
7 5 2000 21.04156 27.90484 1.0334389 4.985673375
8 5 2000 20.70205 26.36514 8.383392 4.304134981
9 5 2000 20.74532 25.1305 6.4609647 3.634788148
10 5 2000 20.5489 26.10293 3.4533515 4.084286927
11 5 2000 20.4112 24.7785 25.726585 3.765250311
