Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 2000 13.7902 29.12588 0 4.290863318
2 1 2000 13.70037 28.84176 0 4.302568946
3 1 2000 14.21438 28.91705 0.6651785 4.189092705
4 1 2000 12.53884 29.13076 0 4.614240347
5 1 2000 13.74346 29.08624 0 4.780896223
6 1 2000 12.52706 29.09072 0 4.720689162
7 1 2000 13.97888 29.94122 0 5.072717513
8 1 2000 13.31185 28.68173 0 4.804555565
9 1 2000 14.75042 27.84365 1.041089 4.187161579
10 1 2000 15.25265 24.0763 2.7891166 3.328048133
11 1 2000 14.79382 27.72225 0 3.860009223
12 1 2000 14.92773 29.07705 0 4.544313443
13 1 2000 14.65133 30.24078 0 4.915753535
14 1 2000 13.4734 29.67108 0 5.013513831
15 1 2000 12.46572 28.34088 0 4.753220092
16 1 2000 12.2493 29.46362 0 4.890893581
17 1 2000 13.56625 30.3378 0 5.060635467
18 1 2000 14.1907 27.48474 6.0396914 4.009002745
19 1 2000 14.07452 26.29452 0.45668483 4.077920793
20 1 2000 13.93203 26.9026 1.4754071 4.151993908
21 1 2000 15.14105 26.13046 7.647543 4.014429002
22 1 2000 13.89388 28.75298 5.288485 4.479903473
23 1 2000 14.56954 29.78372 0.2574615 4.790937518
24 1 2000 15.44018 27.50424 0 4.388230721
25 1 2000 14.65426 29.1381 0 5.275098922
26 1 2000 11.63003 29.5889 0 5.658764493
27 1 2000 10.58407 29.1386 0 5.607685115
28 1 2000 11.51312 29.6376 0 5.408973667
29 1 2000 13.2085 30.0835 0 5.50341505
30 1 2000 13.28494 30.37148 0 5.462413154
31 1 2000 13.11346 29.39382 0.0461641 5.344032318
1 2 2000 12.65148 29.64083 0 5.395702521
2 2 2000 14.0767 28.39636 0 4.711754612
3 2 2000 15.35998 28.26693 2.7331398 4.369337151
4 2 2000 15.186 28.2618 0.04761511 4.380994023
5 2 2000 13.93194 28.14977 0 4.501843906
6 2 2000 12.4529 28.34652 0 4.851938903
7 2 2000 15.31292 29.10604 0 4.648705475
8 2 2000 13.7197 26.47256 5.3946548 3.993267671
9 2 2000 14.39358 27.49664 2.7017539 4.14815312
10 2 2000 14.22305 28.20757 1.0759232 4.231814102
11 2 2000 13.8782 29.1483 0 5.07165697
12 2 2000 13.18334 30.32693 0 5.44799255
