Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 2000 11.5834 24.32186 0 3.848337398
2 1 2000 11.58962 24.70223 0 4.013078698
3 1 2000 11.45654 24.65963 0.05373813 4.075664307
4 1 2000 9.73818 25.3878 0 4.69902909
5 1 2000 11.07418 25.1769 0 4.720819079
6 1 2000 10.7718 24.78005 0 4.387200043
7 1 2000 12.29373 25.4235 0 4.673491299
8 1 2000 11.725 24.0349 0 4.309225433
9 1 2000 12.02554 24.27035 0 4.156465847
10 1 2000 11.7176 21.73312 0.58433664 3.483061392
11 1 2000 11.1805 24.4864 0 3.881812029
12 1 2000 10.7092 26.00518 0 4.534385657
13 1 2000 11.81906 26.1744 0 5.07362153
14 1 2000 11.1384 25.63308 0 4.785932855
15 1 2000 10.86614 25.44113 0 4.661422319
16 1 2000 10.01803 25.37313 0 4.323975113
17 1 2000 11.57156 26.7403 0 4.681533088
18 1 2000 12.30444 24.29757 0 3.996386409
19 1 2000 11.4552 23.41732 4.047475 4.040679067
20 1 2000 11.5671 25.08904 5.844846 4.389366975
21 1 2000 11.92318 23.6617 9.6135645 3.772696929
22 1 2000 12.10934 24.75887 4.2065573 4.280183313
23 1 2000 11.92898 25.61636 0 4.892756768
24 1 2000 12.67568 23.65545 0 4.414789346
25 1 2000 11.8119 25.05428 0 5.264504639
26 1 2000 9.48068 25.30822 0 5.775740563
27 1 2000 9.28893 25.12094 0 5.613879373
28 1 2000 10.13864 26.30197 0 5.065435973
29 1 2000 11.71005 26.68966 0 4.928997511
30 1 2000 11.30493 26.76412 0 4.954641438
31 1 2000 11.79318 25.24288 0 5.524587306
1 2 2000 10.79727 25.7577 0 5.297113722
2 2 2000 10.74062 25.33566 1.3513632 4.394150859
3 2 2000 11.768 26.04934 0 4.430445548
4 2 2000 12.7606 25.77755 0.546168 4.684552344
5 2 2000 12.60098 25.88055 0 5.14713266
6 2 2000 10.45257 25.92 0 5.252929921
7 2 2000 12.0837 26.65667 0 4.445109405
8 2 2000 10.20687 23.54553 0 3.758401685
9 2 2000 11.81082 25.2632 1.2071581 4.277233363
10 2 2000 12.16308 26.02883 0 4.572955951
11 2 2000 11.87905 25.95257 0 5.385482167
12 2 2000 10.9482 26.91287 0 5.275568648
13 2 2000 11.733 26.03484 0 4.450348685
14 2 2000 12.77334 27.99667 0 5.075138538
15 2 2000 12.0737 27.21874 0 5.843761984
16 2 2000 12.0679 26.83682 0 5.867746294
17 2 2000 11.531 26.71597 0 5.382929026
18 2 2000 11.18698 26.39715 0 5.589258644
19 2 2000 12.07412 26.05 1.0372437 5.248920472
20 2 2000 11.3047 26.689 0 6.287023462
21 2 2000 9.71633 27.1969 0 6.082378108
22 2 2000 12.1932 27.1347 0 5.533676916
23 2 2000 10.49606 27.67047 0 5.371278248
24 2 2000 13.4092 27.68206 0 5.440586649
25 2 2000 13.40206 28.32885 0 5.509376483
26 2 2000 12.80074 28.18148 0 5.132058247
27 2 2000 13.0906 27.5329 0.64920545 5.066656408
28 2 2000 13.0741 27.7942 17.090868 4.752904753
29 2 2000 12.55416 24.13815 0 3.759206801
1 3 2000 12.26052 23.56783 9.169786 3.973856831
2 3 2000 11.9546 22.5217 0 3.834152711
3 3 2000 11.12698 26.14608 0 4.483360772
4 3 2000 13.30663 26.2007 0 4.463752734
5 3 2000 13.00787 25.6788 6.73919 4.835893103
6 3 2000 13.18893 27.19845 0.3167018 5.09966435
7 3 2000 12.37533 28.30654 7.89944 5.020731004
8 3 2000 12.87432 23.98654 1.7060996 3.946285641
9 3 2000 12.6429 24.82955 2.5884643 4.121585126
