Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 2000 11.73513 23.8231 0.2981687 3.953974399
2 1 2000 11.5151 23.9263 0.2960822 3.971992603
3 1 2000 11.0362 23.62655 0.06491959 3.923018251
4 1 2000 9.34948 24.3064 0 4.488827236
5 1 2000 10.01473 24.03555 0 4.659134923
6 1 2000 9.34994 23.72476 0 4.362111816
7 1 2000 10.91592 24.4623 0 4.388922695
8 1 2000 10.36843 22.95904 0 4.142903712
9 1 2000 10.628 23.09783 0 4.035878274
10 1 2000 10.60104 22.5345 0 3.928745906
11 1 2000 10.09646 23.81234 0 4.108072344
12 1 2000 9.96612 25.07113 0 4.54931218
13 1 2000 10.06616 25.126 0 4.804439777
14 1 2000 9.33312 24.4209 0 4.565858721
15 1 2000 9.46642 24.3719 0 4.54480865
16 1 2000 8.6355 24.57418 0 4.206249643
17 1 2000 9.78964 25.60024 0 4.336236107
18 1 2000 11.1508 23.61028 0 3.902267943
19 1 2000 10.3855 22.2096 4.474296 4.019665678
20 1 2000 10.06393 24.44024 0.7997857 4.423549648
21 1 2000 10.79598 23.28658 2.9019215 3.773920488
22 1 2000 11.4514 23.98028 3.1153235 4.210462613
23 1 2000 10.75186 24.05654 0 4.13602837
24 1 2000 10.83395 21.77215 0 3.753957769
25 1 2000 9.6687 23.4728 0 4.406510439
26 1 2000 7.8207 24.26098 0 5.089273211
27 1 2000 6.29482 24.01647 0 5.008234718
28 1 2000 7.69006 25.2939 0 4.987356008
29 1 2000 9.72015 25.6513 0 4.795261656
30 1 2000 9.48293 25.98843 1.7682945 4.801513274
31 1 2000 9.31277 24.16293 0 5.070746293
1 2 2000 8.23937 24.5632 0 4.80881566
2 2 2000 9.20815 24.99713 0.39305198 4.492992801
3 2 2000 11.13024 25.66067 2.8327155 4.393316958
4 2 2000 11.60262 26.07824 0 4.833692754
5 2 2000 10.57485 24.97125 0 5.142609373
6 2 2000 7.56826 25.0711 0 5.037849058
7 2 2000 10.15875 26.3392 0 4.755282317
8 2 2000 8.90493 24.9981 0 4.388021194
9 2 2000 11.37136 25.49172 4.034592 4.556449084
10 2 2000 11.1418 25.7661 0.24259087 4.918736932
11 2 2000 9.93978 24.77712 0 4.981311878
12 2 2000 8.3403 25.39706 0 4.825955335
13 2 2000 9.58798 25.25466 0 4.476004885
14 2 2000 10.98745 27.17086 0 5.025543918
15 2 2000 9.4847 26.22216 0 5.478346266
16 2 2000 9.13827 25.7675 0 5.403316579
17 2 2000 9.11138 25.46484 0 5.230852903
18 2 2000 8.26516 25.31295 0 5.266715191
19 2 2000 9.29598 25.06457 1.0220634 5.062835812
20 2 2000 8.21804 25.60012 0.30295572 5.526964097
21 2 2000 6.5273 25.98992 0 5.419122671
22 2 2000 9.4178 26.46725 0 5.407137761
23 2 2000 8.41512 27.27062 0 5.209539857
24 2 2000 10.77316 26.85424 0 5.272652169
25 2 2000 10.72662 27.49322 0 5.335065903
26 2 2000 10.38033 27.23116 0 5.161987314
27 2 2000 11.68276 26.66876 0.7923368 4.886435192
28 2 2000 11.8981 27.03948 0.5468946 4.672854823
29 2 2000 12.62725 26.00903 0 4.310384873
1 3 2000 12.18374 24.55712 0.9458944 4.312911367
2 3 2000 12.61578 24.53787 0.52829313 4.212038349
3 3 2000 10.59908 26.51214 0 4.72743112
4 3 2000 11.98342 25.72817 0.7157447 4.451250877
5 3 2000 12.05264 25.36004 4.0050297 4.742209773
6 3 2000 10.9898 26.96465 1.7460523 5.078778676
7 3 2000 11.48757 27.72988 0 5.108797188
8 3 2000 12.41354 26.22344 0 4.916503532
9 3 2000 11.53268 26.43063 0.078418784 4.713774951
10 3 2000 10.6316 26.5182 0.10340915 4.72432301
11 3 2000 12.68282 27.5745 0 5.150314475
12 3 2000 12.04812 25.99288 0 4.762558797
13 3 2000 11.98773 26.59536 0 5.039481265
14 3 2000 11.93154 27.78558 0 4.905153967
15 3 2000 12.7008 25.8675 1.6016842 4.770971403
16 3 2000 12.50048 27.13195 3.5106237 5.141451852
17 3 2000 11.4654 26.39108 0 5.127219754
18 3 2000 12.15203 27.4063 0 5.426811594
19 3 2000 11.72674 26.34667 0.36444604 4.955616361
20 3 2000 12.6189 26.30984 0 4.889579131
21 3 2000 11.57055 25.87014 0.15313067 5.069839165
22 3 2000 12.1758 27.3774 0 5.603581337
23 3 2000 10.5596 26.11953 0 5.049445771
24 3 2000 10.99194 28.92996 1.2409034 5.442446906
25 3 2000 12.46755 26.55697 0 4.847193901
26 3 2000 11.65988 27.20376 0 5.241524082
27 3 2000 11.8387 25.62322 0.2795619 4.74158359
28 3 2000 12.5235 24.60824 0 4.587699725
29 3 2000 11.9594 26.57736 0 4.790808598
30 3 2000 12.95052 27.07617 6.2618175 4.930206324
31 3 2000 12.2954 24.61477 4.2478256 4.188778743
1 4 2000 13.40878 24.53692 0.16600518 4.192788471
2 4 2000 12.58627 26.0626 0 4.590457787
3 4 2000 12.50305 27.35775 0 4.897760292
4 4 2000 13.02917 26.20123 0.0699551 4.145745258
5 4 2000 13.66644 23.19897 13.136679 3.992364378
6 4 2000 12.88992 22.69848 1.9789393 3.295083187
7 4 2000 12.9736 25.22314 0.79395 4.015736582
8 4 2000 12.8202 22.55612 0.6323713 3.722059984
9 4 2000 12.64028 22.75863 4.6141486 3.723986435
10 4 2000 12.47012 24.4465 1.674823 4.284872914
11 4 2000 12.7642 23.6549 3.8521433 3.858487717
12 4 2000 12.97772 22.46716 2.9163363 4.197457826
13 4 2000 11.81103 24.7334 0 4.390724602
14 4 2000 12.35217 23.9422 1.0944494 3.983783254
15 4 2000 13.3155 22.60748 17.673187 3.601317518
16 4 2000 12.83813 23.21142 0.45660105 3.538376695
17 4 2000 13.0786 24.914 0.9611379 4.412933436
18 4 2000 12.34066 25.72558 0.056219578 4.776710282
19 4 2000 11.9534 25.95205 0 5.005173092
20 4 2000 12.37325 25.87222 0 4.706168661
21 4 2000 12.36132 25.96444 0 4.525568858
22 4 2000 12.60494 25.19818 0.17915036 4.278316805
23 4 2000 13.35757 22.8326 12.538034 3.771602212
24 4 2000 13.22708 22.96572 6.0051513 3.562785219
25 4 2000 12.9895 21.74325 5.6698985 3.445588098
26 4 2000 12.29485 24.46203 0.41277328 4.311630688
27 4 2000 12.64202 23.96002 0.036131665 4.149219783
28 4 2000 12.60217 24.79537 0 4.441978248
29 4 2000 13.2159 23.6412 0 4.361012236
30 4 2000 12.7272 23.64492 0.37793565 4.373811534
1 5 2000 13.1993 23.5588 8.514601 4.192451216
2 5 2000 12.75665 23.97125 0.7900789 4.30113904
3 5 2000 12.82983 22.27004 0 3.97354034
4 5 2000 13.56228 23.70272 2.1958702 4.185501281
5 5 2000 12.964 22.39022 4.961203 3.647756921
6 5 2000 13.06686 22.97396 0.8044974 3.832719616
7 5 2000 12.46652 23.12213 1.1419004 4.12062006
8 5 2000 11.90508 24.17544 0.6109812 3.944352364
9 5 2000 13.44616 22.25997 8.048714 3.364289922
10 5 2000 12.7908 21.33962 1.900807 3.369853329
11 5 2000 13.02383 20.51562 0.015696732 3.162283194
12 5 2000 13.3148 21.31707 0.94539654 2.773688906
13 5 2000 13.41335 21.98965 0 3.128520122
14 5 2000 11.6441 21.7373 0 3.480483495
15 5 2000 10.91073 24.4825 2.0178885 4.328935799
16 5 2000 12.06954 23.011 1.6543684 3.649479332
17 5 2000 11.19528 23.0099 0.6537852 3.666518434
18 5 2000 10.21508 23.50234 0.8062671 3.904808609
19 5 2000 10.246 23.88384 0 4.065139227
20 5 2000 10.92156 23.79882 0 4.221757948
21 5 2000 10.84667 23.78927 0 4.136783984
22 5 2000 9.8621 24.3232 0 4.057665684
23 5 2000 10.41104 24.85723 0 4.024816271
24 5 2000 10.2701 24.6704 0.66649634 3.967946483
25 5 2000 12.13937 24.1906 3.1662736 3.785388817
26 5 2000 11.32897 22.64553 5.8427057 3.315860193
27 5 2000 12.20428 22.6234 7.4926515 3.155975019
28 5 2000 11.7777 21.80328 2.4541986 3.304024167
29 5 2000 11.4412 22.25222 3.8355272 3.603984562
30 5 2000 11.49725 22.06353 6.301576 3.506296056
31 5 2000 10.43777 23.4883 0 3.711398067
1 6 2000 10.42803 23.998 0 3.78148651
2 6 2000 9.79406 23.96844 0 4.020739999
3 6 2000 9.92874 23.3161 0 4.177126996
4 6 2000 11.24557 22.7583 1.9864147 3.917874751
5 6 2000 11.52963 21.8537 1.22841 3.448803442
6 6 2000 11.05264 22.05648 4.854408 3.462596515
7 6 2000 11.79803 21.05923 0.9584151 3.424628728
8 6 2000 11.50253 21.64944 0 3.473114553
9 6 2000 10.82427 21.84042 0 3.211126925
10 6 2000 12.197 21.84963 1.4871293 2.979153169
11 6 2000 11.41238 22.363 8.501747 2.943038936
12 6 2000 12.40026 20.52554 0 2.896094516
13 6 2000 12.23754 19.80877 0 2.732434308
14 6 2000 12.09536 20.36505 0.59705514 3.125912321
15 6 2000 11.53713 21.5509 0.19899341 3.268263992
16 6 2000 11.22817 21.90353 3.7820864 3.412163731
17 6 2000 10.7052 21.34847 0 3.592217177
18 6 2000 10.5219 22.1336 0 3.761104323
19 6 2000 11.5204 21.4397 0 3.633211183
20 6 2000 11.0961 22.26428 9.852784 3.362957402
21 6 2000 10.53893 22.02786 3.1588118 3.363057033
22 6 2000 11.25323 21.0505 2.4169161 3.233744377
23 6 2000 11.40194 20.3616 5.469596 2.870160608
24 6 2000 11.97393 19.53765 4.385213 2.466251933
25 6 2000 11.47167 19.8106 0.21135628 2.326084893
26 6 2000 11.22463 19.1843 2.7696183 2.582576923
27 6 2000 10.86855 19.04107 0.61608076 2.233534927
28 6 2000 10.97277 19.57107 1.9099958 2.394360082
29 6 2000 10.91528 18.68728 0 2.366721019
30 6 2000 10.5069 19.7192 0.7991894 2.802340131
1 7 2000 10.25265 19.49926 2.0378363 2.965297908
2 7 2000 10.6724 19.21377 0 2.870188771
3 7 2000 10.90127 17.8939 3.839794 2.735744345
4 7 2000 10.79046 19.4485 0.748423 2.653594138
5 7 2000 11.49566 19.87884 0 2.702291914
6 7 2000 10.45126 19.1389 0 2.223336994
7 7 2000 10.22302 20.4152 0.06415726 2.612531199
8 7 2000 12.06057 19.8683 0 2.672866039
9 7 2000 11.53857 20.41262 0 2.811602418
