Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 2000 12.83773 27.21316 0 4.189211546
2 1 2000 12.60974 27.2095 0 4.348585616
3 1 2000 12.8536 27.25277 2.8169355 4.337845387
4 1 2000 10.94012 27.73113 0 4.858969113
5 1 2000 12.30737 27.44747 0 4.908991676
6 1 2000 11.19384 27.2095 0 4.680688572
7 1 2000 12.4908 28.06692 0.046660848 4.950356625
8 1 2000 12.1175 26.85275 0.046660848 4.661507799
9 1 2000 13.26138 26.12222 0.046660848 4.19289338
10 1 2000 13.70953 22.01913 1.3106496 3.04017722
11 1 2000 12.13265 25.93344 0 3.716491433
12 1 2000 12.37487 27.7889 0 4.564507253
13 1 2000 13.0743 28.43002 0 5.156531834
14 1 2000 12.09878 27.8582 0 5.000987509
15 1 2000 11.2336 27.05697 0 4.777290485
16 1 2000 10.9817 27.93142 0 4.795977652
17 1 2000 12.5271 28.68472 0 4.816863648
18 1 2000 13.25155 25.366 1.9171641 3.862343676
19 1 2000 12.42602 25.16836 1.7274817 4.115557473
20 1 2000 12.4339 26.4333 2.978068 4.417488433
21 1 2000 13.49572 24.65966 14.660063 3.87391324
22 1 2000 12.5005 27.49316 4.705426 4.603658168
23 1 2000 13.6194 27.78356 0 5.088375186
24 1 2000 14.18435 25.874 0 4.591825622
25 1 2000 13.5185 27.1357 0 5.482337332
26 1 2000 10.51574 27.52575 0 5.85413486
27 1 2000 9.5831 27.24532 0 5.729540987
28 1 2000 10.7193 28.2612 0 5.263923653
29 1 2000 12.04748 28.6098 0.032466784 5.194782278
30 1 2000 11.77072 29.04006 0.032466784 5.281459902
31 1 2000 12.49673 27.65972 0.07794004 5.618421527
1 2 2000 11.6439 27.9362 0 5.478661002
2 2 2000 12.0573 27.51675 0.52679604 4.678310773
3 2 2000 13.76013 26.97195 1.2546822 4.319237087
4 2 2000 13.3678 27.54797 0 4.507123786
5 2 2000 12.60397 27.2917 0 4.848659829
6 2 2000 11.13323 27.47375 0 5.137630097
7 2 2000 13.43554 28.1174 0 4.521730726
8 2 2000 11.578 24.56167 0.2266835 3.777271851
9 2 2000 12.9873 26.42263 1.7515368 4.155395187
10 2 2000 13.15753 27.00076 0 4.360321859
11 2 2000 12.73596 27.55923 0 5.405514634
12 2 2000 12.23034 28.44097 0 5.576005965
13 2 2000 11.9987 28.68542 0 5.036696113
14 2 2000 13.2271 29.68386 0 5.228947105
15 2 2000 12.2461 29.02194 0 5.649418603
16 2 2000 12.26632 28.69103 0 5.560494138
17 2 2000 12.20968 28.37548 0 5.287356486
18 2 2000 11.67007 28.25753 0 5.437146383
19 2 2000 12.4575 28.00536 0.998121 5.115462097
20 2 2000 11.4834 28.55355 0 6.079333639
21 2 2000 11.07433 29.0062 0 6.064089382
