Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 2000 12.80996 26.3919 0.49641228 4.139877676
2 1 2000 13.19854 25.3885 0.108171955 4.029320418
3 1 2000 13.32543 25.97265 4.828089 4.284570534
4 1 2000 11.73535 26.95104 0 4.66258107
5 1 2000 12.7932 27.35092 0 5.070572964
6 1 2000 12.2834 26.2866 0 4.365372891
7 1 2000 13.80697 27.2288 0 4.391428767
8 1 2000 13.66564 25.601 0.01864941 3.969042389
9 1 2000 13.83395 25.15273 5.662554 3.741060041
10 1 2000 13.218 23.1833 5.202411 3.318949063
11 1 2000 13.04803 25.8206 0.1319151 3.769745863
12 1 2000 12.9234 27.86688 0.20578402 4.566535616
13 1 2000 12.9398 28.1737 0.024520464 4.983738817
14 1 2000 12.2632 26.8084 0.06529855 4.584037229
15 1 2000 12.0449 26.2658 0 4.404429705
16 1 2000 11.34045 26.5064 0 4.290061324
17 1 2000 12.37652 27.76916 0 4.560098911
18 1 2000 13.8325 25.7015 0.85697824 4.036269536
19 1 2000 12.2906 23.99426 2.835013 3.966883975
20 1 2000 12.0325 25.7343 0.37568283 4.252111729
21 1 2000 13.39633 25.37936 8.865285 3.972603384
22 1 2000 13.42352 25.67504 3.1377716 4.472615977
23 1 2000 13.1915 26.58062 0.03286355 4.793548357
24 1 2000 13.713 24.29205 0 4.255638463
25 1 2000 12.61355 26.3879 0 4.837660198
26 1 2000 11.72906 27.5331 0 5.174506436
27 1 2000 10.2296 27.41735 0 5.229363275
28 1 2000 11.3331 28.2512 0 5.098550432
29 1 2000 12.4065 28.19808 0 4.994140654
30 1 2000 12.5734 28.3758 0.9790028 4.662190783
31 1 2000 12.98757 27.684 0 5.129891897
1 2 2000 12.19485 27.74893 0 5.264679222
2 2 2000 13.19418 26.19128 0.5532825 4.177201508
3 2 2000 14.93835 26.7413 4.989701 3.931702999
4 2 2000 14.61697 27.33108 2.1970513 4.479766245
5 2 2000 13.7712 27.8189 0.7134365 5.041756908
6 2 2000 11.9732 27.81762 0 5.199150283
7 2 2000 13.6378 28.48287 0 4.818798419
8 2 2000 12.7711 25.82867 0.59491956 4.01683185
9 2 2000 14.14404 27.19174 3.0478415 4.375419225
10 2 2000 14.44744 27.25292 1.9516649 4.725005013
11 2 2000 13.44518 27.44723 0 5.374048941
12 2 2000 11.83438 27.99215 0 5.69622738
13 2 2000 12.08254 27.81103 0 4.87777905
14 2 2000 13.5193 28.8996 0 4.754176425
15 2 2000 13.1186 29.98272 0 5.822678716
16 2 2000 12.7906 29.33804 0 5.819005052
17 2 2000 13.06063 28.72793 0 5.397898422
18 2 2000 12.8111 29.22097 2.0115852 5.371063793
19 2 2000 13.76864 28.17144 2.988793 4.80894323
20 2 2000 12.51135 28.959 0.010925358 5.648835294
21 2 2000 10.7161 29.27953 0 5.833516993
22 2 2000 12.62692 29.65106 0 5.292914722
23 2 2000 12.0366 29.7374 0 5.122490759
24 2 2000 14.43484 29.1758 0 5.385797034
25 2 2000 14.66534 29.73092 0 5.42309369
26 2 2000 14.4155 29.3947 2.426993 5.006586634
27 2 2000 14.60568 28.68472 0.6586951 4.604184623
28 2 2000 14.82827 29.26907 2.1662135 4.784589934
29 2 2000 14.4733 27.41305 3.3414586 4.267070593
1 3 2000 13.55828 25.8401 16.643223 3.908079526
2 3 2000 14.30486 25.61434 7.1322913 3.907104298
3 3 2000 12.7618 27.80755 2.3238435 4.417106205
4 3 2000 14.65124 26.98116 2.594837 4.037904023
5 3 2000 14.12466 26.5131 8.982193 4.548791573
6 3 2000 13.8735 28.68255 0.15122993 5.110976256
7 3 2000 13.95297 28.9635 4.7554526 4.958935586
8 3 2000 14.18823 25.40664 9.976997 3.833558184
9 3 2000 13.5386 25.62795 7.1494684 3.680854353
10 3 2000 13.20883 27.8128 0.34994262 4.589785976
11 3 2000 14.74355 28.88094 1.4062926 4.891034859
12 3 2000 14.68087 27.18444 0.1679708 4.502909754
13 3 2000 14.20483 27.95376 0.19396901 5.154775222
14 3 2000 14.69653 28.6762 0.119518414 5.129825296
15 3 2000 15.38528 26.3802 2.4324844 4.625589289
16 3 2000 15.08563 27.9734 12.0585 4.835005973
17 3 2000 13.99642 27.72927 2.815432 4.96308666
18 3 2000 15.32922 28.92248 0.31818014 5.563091406
19 3 2000 14.76064 27.85726 0.1113691 5.165800547
20 3 2000 14.74594 28.0563 0 5.269570142
21 3 2000 14.59875 27.36086 0.010623815 5.483460001
22 3 2000 15.1407 29.6047 0 6.312458661
23 3 2000 14.2967 27.7827 0 6.136910484
