Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 2000 11.76064 24.3833 0 3.672307126
2 1 2000 11.38473 24.2844 0 3.578734744
3 1 2000 12.04733 24.38925 2.282848709 3.580141886
4 1 2000 11.05844 24.70547 0 3.890506032
5 1 2000 11.68368 24.6832 0 4.083754816
6 1 2000 10.88442 24.81405 0 4.060629801
7 1 2000 12.05346 25.4982 0 4.35220111
8 1 2000 11.68533 24.27847 0 4.111919895
9 1 2000 12.7867 23.5506 0 3.673692567
10 1 2000 11.9445 22.03878 2.068419869 3.432011624
11 1 2000 11.97592 23.99142 0 3.705774444
12 1 2000 12.59576 24.58633 0 3.953398234
13 1 2000 12.4186 26.02957 0 4.325311544
14 1 2000 11.84042 25.40582 0 4.355205252
15 1 2000 10.67434 24.7289 0 4.246162689
16 1 2000 10.64498 25.09255 0 4.095578478
17 1 2000 11.44833 25.93044 0 4.210269176
18 1 2000 12.1492 23.66567 2.437367789 3.694574429
19 1 2000 11.67495 22.2455 1.019857613 3.658193496
20 1 2000 12.12185 23.34146 0 3.546933989
21 1 2000 12.30148 21.9341 2.999836058 3.478910844
22 1 2000 12.11834 23.94436 5.213910397 3.728952777
23 1 2000 12.31262 25.49246 0 3.9490014
24 1 2000 12.434 23.65545 0 3.762686761
25 1 2000 11.41726 24.66998 0 4.313556189
26 1 2000 9.2371 25.4047 0 4.717487981
27 1 2000 9.5284 24.99624 0 4.620656212
28 1 2000 10.25512 25.37347 0 4.412352395
29 1 2000 11.19827 25.65756 0 4.388626142
30 1 2000 10.57046 25.662 0 4.406358121
31 1 2000 11.3682 25.08642 0.021917134 4.582772715
1 2 2000 11.88967 25.55062 0 4.55287419
2 2 2000 12.18694 24.79214 0 4.070801928
3 2 2000 13.1613 24.58743 4.691155481 3.899408742
4 2 2000 12.57272 24.43685 0 3.956683054
5 2 2000 12.73428 24.1916 0 4.166127505
6 2 2000 11.80395 24.36602 0 4.359322173
7 2 2000 12.3221 25.26266 0 4.044029744
8 2 2000 11.7426 23.50656 0 3.730138504
9 2 2000 11.8166 23.62814 5.612900497 3.543631312
10 2 2000 11.51876 23.9185 0.005285709 3.726439517
11 2 2000 12.44238 25.11822 0 4.572891173
12 2 2000 11.44998 26.4073 0 4.712813388
13 2 2000 11.1384 26.27792 0 4.486025888
14 2 2000 12.13842 26.37255 0 4.549029074
15 2 2000 11.78518 25.60995 0 4.446367969
16 2 2000 12.29495 25.39614 0 4.559488829
17 2 2000 12.44647 25.7427 0 4.710849506
18 2 2000 12.10198 25.50308 0 4.679443887
19 2 2000 11.8876 25.56533 0 4.745254461
20 2 2000 10.89968 25.8243 0.139843403 4.878852421
21 2 2000 9.61483 26.57485 0 4.838835734
22 2 2000 12.0109 25.36697 0 4.739380162
23 2 2000 10.27297 26.2123 0 4.352605993
24 2 2000 12.01757 26.55923 0 4.494920375
25 2 2000 12.8458 26.67523 0.005448288 4.526820618
26 2 2000 13.07186 25.66683 0 4.111691554
27 2 2000 13.19106 24.89865 0.124287412 4.285410633
28 2 2000 13.13638 25.6081 0 4.020123785
29 2 2000 11.86013 21.93374 0 2.884930238
1 3 2000 12.3933 22.83523 0.042384054 3.242904497
2 3 2000 12.4734 23.4069 1.844391796 3.887020093
3 3 2000 11.2531 26.22866 0 4.325999116
4 3 2000 13.26003 24.53408 0.765851937 3.502016399
5 3 2000 13.32748 25.2184 0.146891436 4.144476261
6 3 2000 13.33346 26.09854 0 4.48415363
7 3 2000 13.58462 26.4462 1.351818379 4.313108187
8 3 2000 13.42233 22.34683 10.73876443 3.552070883
9 3 2000 12.46636 22.8893 0 3.180376082
10 3 2000 12.3208 25.07452 0.405138826 4.032288831
11 3 2000 13.73297 26.03866 0 4.42107653
12 3 2000 11.56936 23.48556 0 3.574194989
13 3 2000 11.77847 25.23812 0 4.281535955
14 3 2000 13.51974 27.15713 0 4.235780149
15 3 2000 13.42996 24.28103 0.820472041 4.121810711
16 3 2000 13.2286 24.55154 2.96247811 4.08146752
17 3 2000 12.9068 24.51364 1.281973434 4.117378316
18 3 2000 13.55972 25.37515 0 4.351026726
19 3 2000 13.24478 25.063 0.349622061 4.29304313
20 3 2000 14.00833 25.2833 0 4.320400849
21 3 2000 13.04196 25.26193 0 4.495004851
22 3 2000 13.03692 27.18182 0 5.277556246
23 3 2000 13.25204 27.41998 0 4.837164919
24 3 2000 13.02987 27.50625 0 4.606140545
25 3 2000 13.6605 25.11114 0 4.092920513
26 3 2000 12.3974 25.35153 0 4.111387575
27 3 2000 12.01888 26.8273 0 4.789472914
28 3 2000 13.2102 25.4363 0 4.509217043
29 3 2000 12.84805 27.13238 0 4.463594278
30 3 2000 13.48907 26.7031 0.789715218 4.310198249
31 3 2000 13.86163 24.47848 1.799552748 3.859008599
1 4 2000 14.46957 24.7581 0.074253844 3.748171565
2 4 2000 14.14868 25.41027 0 3.916120911
3 4 2000 13.11538 27.33392 0.326057475 4.633064412
4 4 2000 13.47994 25.32903 6.464971274 3.48281623
5 4 2000 12.97244 21.24197 14.11640846 3.133293192
6 4 2000 13.34237 19.35253 0.051248322 2.202939067
7 4 2000 13.5549 23.45263 0.13402255 3.072018011
8 4 2000 13.40817 22.7534 5.937397616 3.067912473
9 4 2000 13.1695 22.2914 2.623770928 2.813791697
10 4 2000 13.0773 23.3727 4.582358868 3.46221775
11 4 2000 13.2182 24.83172 0.354440072 3.845957649
12 4 2000 13.02838 23.97988 0 4.057253968
13 4 2000 14.29983 25.02822 0 3.991412876
14 4 2000 14.27828 24.59152 0 3.522992458
15 4 2000 14.35708 22.7679 16.94309119 3.011611405
16 4 2000 14.35058 23.34554 4.147390625 3.079186706
17 4 2000 13.9191 23.69784 0.959279277 3.250592428
18 4 2000 13.6785 25.28384 0.689378382 3.643746598
19 4 2000 13.5331 24.63204 0 3.762525163
20 4 2000 14.3599 24.77352 0 3.975075868
21 4 2000 14.20687 25.35824 0 3.971893212
22 4 2000 13.30575 23.16873 8.965741028 3.378276311
23 4 2000 13.21615 21.3254 11.11104283 3.122171071
24 4 2000 13.5491 22.75472 6.758028073 3.100987627
25 4 2000 13.50247 22.0823 2.232254836 2.743300273
26 4 2000 13.02578 22.42175 3.701559901 2.748725646
27 4 2000 13.503 22.63723 4.0756834 2.887770637
28 4 2000 13.54037 22.27487 10.94770771 2.820798469
29 4 2000 12.67495 23.79656 1.729326492 3.074331434
30 4 2000 13.94583 21.87722 19.59098389 3.28916416
1 5 2000 13.66067 21.2533 12.73859655 2.497197356
2 5 2000 13.42416 21.38064 3.949182863 2.685655763
3 5 2000 12.9462 20.61355 5.010424071 2.714839939
4 5 2000 13.13046 21.11627 7.209854362 2.867603916
5 5 2000 13.05996 22.38644 15.50384026 3.154241247
6 5 2000 12.92556 22.04916 3.040166828 2.488719204
7 5 2000 13.98748 23.08044 5.164780247 3.114751541
8 5 2000 13.83206 22.6744 2.550080884 2.852991793
9 5 2000 13.28793 20.8612 23.75682084 2.54982825
10 5 2000 12.99807 20.7924 5.916201788 2.56784275
11 5 2000 13.79342 18.89965 50.00640093 2.18307893
12 5 2000 13.87222 18.68624 6.136093122 1.815579139
13 5 2000 14.29946 19.94204 0.750447337 2.107256118
14 5 2000 12.62362 20.98245 0.037534224 2.73567123
15 5 2000 12.64742 21.57473 0 2.926430693
16 5 2000 12.48867 23.08602 0.013085389 3.070817211
17 5 2000 12.82015 22.8659 0 2.998955926
18 5 2000 13.05367 22.88204 0 3.237965638
19 5 2000 12.54373 22.55374 0 3.274374702
20 5 2000 12.65396 23.39834 0 3.637605534
21 5 2000 12.94064 23.29534 0 3.50709271
22 5 2000 12.04434 23.86685 0 3.442316373
23 5 2000 12.47567 23.67925 0.066239881 3.305267245
24 5 2000 12.20962 22.27822 0 3.38660245
25 5 2000 13.3197 22.371 0 3.334519765
26 5 2000 13.00866 20.91213 2.472575687 3.010375793
27 5 2000 12.8884 22.51562 0.0042125 3.067042705
28 5 2000 13.15255 21.2533 2.701208584 3.216153319
29 5 2000 13.39517 21.30276 1.275238659 3.122824694
30 5 2000 12.51992 20.75393 0.772089673 2.791177196
31 5 2000 12.4093 22.5452 11.13902986 3.088611465
1 6 2000 12.09548 23.6389 0 3.306733992
2 6 2000 12.4816 23.68167 0 3.468385925
3 6 2000 12.2944 22.3392 0.030139827 3.268291332
4 6 2000 12.69338 21.23153 2.157093512 3.166520293
5 6 2000 11.79113 21.014 0 2.743637987
6 6 2000 11.26425 21.46206 0 2.817412983
7 6 2000 12.89248 19.81118 0 2.34037052
8 6 2000 11.78445 20.93948 0.644228564 2.628016119
9 6 2000 11.86364 20.64553 26.3720565 2.520308718
10 6 2000 10.133 20.42748 1.251913467 2.585974469
11 6 2000 10.73998 21.6954 0.942423145 2.825578777
12 6 2000 11.37765 21.71084 0.001027745 3.03277614
13 6 2000 12.03823 20.32653 0 2.536176723
14 6 2000 12.46636 20.91232 0 2.750290349
15 6 2000 12.4089 21.83462 0 2.906111161
16 6 2000 12.6348 21.67605 0 2.963031082
17 6 2000 12.35296 22.49258 0 3.105492673
18 6 2000 12.84323 21.98486 0 2.956651666
19 6 2000 12.24716 21.86086 0 3.023365331
20 6 2000 11.9144 22.3526 2.343562532 3.152473144
21 6 2000 12.94824 21.59704 3.070617966 2.865347674
22 6 2000 11.89114 20.5816 1.462853254 2.735077721
23 6 2000 11.674 19.85452 1.968405226 2.483635197
24 6 2000 12.7815 20.06362 12.95105135 2.295787742
25 6 2000 12.15496 17.3183 5.693485541 1.240544867
26 6 2000 11.28097 18.83068 5.175672994 2.296415762
27 6 2000 11.37747 20.72567 1.293922065 2.548715713
28 6 2000 11.5104 20.06793 3.195170049 2.316777523
29 6 2000 11.5766 19.25958 7.520890382 2.276145283
30 6 2000 11.74 19.82568 7.378278218 2.373272254
1 7 2000 9.44064 19.9484 0.983628445 2.738118012
2 7 2000 10.4009 20.3403 2.109808799 2.934183231
3 7 2000 11.63424 18.82565 2.918802759 2.383321772
4 7 2000 12.11575 18.49566 0.455229611 2.040272094
5 7 2000 12.46786 20.29177 2.162964158 2.551493429
6 7 2000 10.996 18.94875 0 2.155037279
7 7 2000 10.76992 20.84597 0.059199472 2.612815104
8 7 2000 12.01144 20.73794 4.074297702 2.540373481
9 7 2000 11.6662 20.74075 8.417628526 2.946481502
10 7 2000 12.851 17.82882 1.828033336 2.341743619
11 7 2000 12.30795 19.53863 3.569586473 2.270688474
12 7 2000 12.55 19.75375 4.970934429 1.970286032
13 7 2000 12.5768 20.88278 1.046632897 2.394015402
14 7 2000 11.56542 19.74685 6.569326272 2.602272013
15 7 2000 11.9224 19.83816 22.02528868 2.766045253
16 7 2000 12.36486 20.92367 1.296842915 2.348274517
17 7 2000 12.24514 19.6883 4.652063912 2.587099068
18 7 2000 13.25332 19.33376 2.806321223 2.722299765
19 7 2000 12.61807 20.77902 1.299612427 2.618761237
20 7 2000 12.11108 21.2656 19.89835154 2.394743121
21 7 2000 11.81716 20.18057 7.394760632 2.528185625
22 7 2000 12.45724 17.3337 16.58624956 1.806442881
23 7 2000 12.60006 18.62155 9.199872208 2.335651137
24 7 2000 11.93447 16.07266 2.19804441 1.977913636
25 7 2000 11.70617 19.63918 5.538367465 2.329498463
26 7 2000 11.03893 20.2856 0 2.536427167
27 7 2000 11.13934 19.6273 1.682581787 2.662113489
28 7 2000 10.3146 19.32968 5.121923051 2.437554012
29 7 2000 10.77383 18.58752 11.28717494 2.237297234
30 7 2000 11.5567 20.65502 9.863247758 2.760053256
31 7 2000 11.30758 20.4496 0 3.070481554
1 8 2000 10.212 19.6197 0 2.887786481
2 8 2000 10.87905 20.01623 1.707157891 2.867078816
3 8 2000 11.25347 20.57583 0 2.995027961
4 8 2000 10.29995 21.87222 0 2.783085328
5 8 2000 11.0064 19.613 0 2.831310377
6 8 2000 11.90658 19.84985 0.880725891 2.812241481
7 8 2000 11.07443 18.46295 0.916214989 2.371888278
8 8 2000 10.95693 19.70483 4.981393467 2.958445295
9 8 2000 11.3918 18.69406 16.42720149 2.690079454
10 8 2000 12.0395 18.33096 18.84718398 2.585827624
11 8 2000 11.45464 20.38806 1.237131548 3.042882509
12 8 2000 11.87905 21.00973 23.56158276 2.420304364
13 8 2000 12.33474 18.70892 10.14794628 2.199784431
14 8 2000 11.76232 19.83853 12.84883287 2.500120844
15 8 2000 11.85842 17.7864 0.268463954 2.181226179
16 8 2000 11.6783 20.0287 8.782337711 2.429121148
17 8 2000 11.86382 19.61038 3.210144823 2.542664743
18 8 2000 10.58978 18.7762 21.90567749 2.687743048
19 8 2000 11.14843 19.4111 4.757809547 2.489364842
20 8 2000 11.0062 20.14285 7.682214483 2.502803788
21 8 2000 10.97555 19.837 7.291709663 2.816203897
22 8 2000 10.3035 20.4072 7.884407311 2.881035264
23 8 2000 11.1302 19.6353 2.350046323 2.744669432
24 8 2000 11.13357 21.1025 3.091748602 2.713838559
25 8 2000 12.09268 19.2399 0 2.618862078
26 8 2000 11.1934 19.24026 0.882796237 2.672572479
27 8 2000 12.144 19.58956 15.69077628 2.353388148
28 8 2000 12.23696 18.10247 11.53275293 2.164252765
29 8 2000 11.46356 19.6063 0 2.411563897
30 8 2000 12.1254 20.49978 0 2.822629441
31 8 2000 11.96945 21.14266 5.499722422 2.82320425
1 9 2000 11.02035 21.56454 1.936116182 2.958653006
2 9 2000 10.975 21.36837 0.270215927 3.424250157
3 9 2000 10.77438 21.53384 0 3.046997418
4 9 2000 11.7465 20.79595 0 3.23552267
5 9 2000 10.9811 21.09936 5.356781688 3.030417048
6 9 2000 11.99917 21.31332 0.085365592 3.293143191
7 9 2000 11.77456 21.89617 10.45148117 3.526368933
8 9 2000 11.86068 20.70336 11.18372355 3.023254416
9 9 2000 11.58105 21.45242 0 3.124543264
10 9 2000 11.62643 21.77627 0 3.383596227
11 9 2000 11.5195 22.0765 0 3.603031449
12 9 2000 11.23245 22.80993 0 3.773198206
13 9 2000 11.75564 22.80624 0 3.852881404
14 9 2000 12.9979 20.39865 0.441804109 3.225572972
15 9 2000 10.53195 18.5152 1.21990553 2.214675802
16 9 2000 10.90713 20.33898 0 2.90214538
17 9 2000 11.3444 21.27633 0 3.496559418
18 9 2000 12.6733 21.4117 0 3.426099574
19 9 2000 12.63723 21.69857 0.905345761 3.324470637
20 9 2000 12.3968 21.26464 8.156369977 3.355053709
21 9 2000 12.53048 20.41354 10.90172615 2.545303458
22 9 2000 11.29586 18.86395 15.95225216 2.289426509
23 9 2000 12.5859 20.15603 2.468811976 2.858866127
24 9 2000 12.86196 20.90063 0 3.000811223
25 9 2000 12.1704 20.35238 0 2.839873754
26 9 2000 12.5779 20.92477 0 3.380036712
27 9 2000 11.79876 21.9144 0 3.261427792
28 9 2000 11.07443 17.99874 1.566286831 2.386192772
29 9 2000 12.50634 19.54476 6.229373279 2.384515662
30 9 2000 12.08804 21.6149 17.26729105 2.892157865
1 10 2000 12.358 21.9062 1.218968774 3.120609575
2 10 2000 12.8685 18.8595 4.955032623 2.365491064
3 10 2000 13.00662 21.32076 3.295145504 2.79766124
4 10 2000 12.80676 19.68383 20.08382545 2.230641484
5 10 2000 13.1511 20.12966 9.1835532 2.624543076
6 10 2000 12.77407 21.00808 8.553722556 3.208021353
7 10 2000 12.16165 21.93038 17.59819127 3.155300696
8 10 2000 12.8406 21.51394 2.868729801 2.99425564
9 10 2000 12.69598 20.1761 22.11691175 2.417857448
10 10 2000 12.40353 19.69628 5.614749768 2.324476567
11 10 2000 12.62887 21.69894 0.149066543 3.137731153
12 10 2000 12.69763 22.5381 0 3.289801937
13 10 2000 11.67214 20.9099 1.290299447 3.125454346
14 10 2000 13.18472 20.70413 6.005206504 3.363071291
15 10 2000 12.7815 21.30087 11.9948996 3.113438511
16 10 2000 13.361 20.5972 1.782340494 3.276935108
17 10 2000 12.9161 19.78384 3.777333174 2.751052157
18 10 2000 12.1074 19.7573 8.892209186 2.88222968
19 10 2000 12.46877 18.3369 6.458846622 2.714328735
20 10 2000 12.7599 19.50515 11.71414327 2.640021583
21 10 2000 12.50747 16.76595 10.59219971 1.873666396
22 10 2000 11.08486 19.5548 2.649061437 2.378337436
23 10 2000 12.3721 20.97314 2.914663385 3.017521466
24 10 2000 12.97836 21.4507 0.016121705 3.179617675
25 10 2000 12.59167 23.59597 0 3.849082325
26 10 2000 13.32882 23.81628 0 4.069698534
27 10 2000 13.20706 23.53872 0 3.79823698
28 10 2000 11.82385 22.88577 0 3.659440554
29 10 2000 12.66122 22.39144 0 3.427779469
30 10 2000 13.57607 22.12615 0 3.339198599
31 10 2000 13.5493 19.98815 11.03763133 2.7339007
1 11 2000 12.89602 21.6015 5.739600582 2.788427877
2 11 2000 13.7718 22.39758 4.396490551 3.11639765
3 11 2000 13.88394 20.36184 11.52141842 3.034884189
4 11 2000 13.43386 21.03112 5.516842423 2.755446855
5 11 2000 13.3141 23.1559 0 3.349038152
6 11 2000 13.0081 21.77905 0 3.168586233
7 11 2000 12.89712 21.33083 5.304981502 2.796186172
8 11 2000 12.7458 21.63256 1.356977384 3.286239875
9 11 2000 12.8832 22.94247 0 3.666341496
10 11 2000 13.4506 23.09603 0 3.638519565
11 11 2000 12.28845 22.53756 0 3.772462419
12 11 2000 12.5989 22.4987 0 3.639441908
