Day Month Year Tmin(C) Tmax(C) Prcp(mm) Et0(mm)
1 1 2000 12.65798 26.07757 0 4.239417145
2 1 2000 11.86257 25.76702 0 4.373046246
3 1 2000 11.47234 26.03945 2.2884436 4.408272273
4 1 2000 9.4425 25.56277 0 4.79252457
5 1 2000 11.37084 25.52422 0 5.000903318
6 1 2000 10.11758 25.48654 0 4.736589588
7 1 2000 11.8915 26.281 0 5.071786616
8 1 2000 11.79833 24.9724 0 4.662875973
9 1 2000 11.88906 24.317 0 4.15379952
10 1 2000 13.18057 22.21 0.6475617 3.344727951
11 1 2000 11.98086 25.4177 0 4.026267732
12 1 2000 12.35946 25.89367 0 4.615033051
13 1 2000 11.88757 26.0866 0 5.172002139
14 1 2000 10.83978 25.80706 0 5.153396811
15 1 2000 10.1419 25.6069 0 4.895035656
16 1 2000 9.88424 26.38525 0 4.67331468
17 1 2000 11.6303 27.21948 0 4.584322187
18 1 2000 12.1876 24.27932 0.5810177 3.898742682
19 1 2000 11.63412 23.2568 4.903083 4.191028201
20 1 2000 11.48602 25.6326 0.7612913 4.520755836
21 1 2000 13.07702 24.74847 0.8520293 3.926615783
22 1 2000 12.11968 25.46426 6.372197 4.73000058
23 1 2000 13.00543 25.564 0 5.044796818
24 1 2000 12.764 23.3966 0 4.634667951
25 1 2000 12.16683 24.71542 0 5.421447024
26 1 2000 10.36926 25.213 0 5.985554262
27 1 2000 8.56402 25.20754 0 5.775936693
28 1 2000 10.46774 26.7704 0 5.116057785
29 1 2000 12.12924 27.13067 0 4.908212612
30 1 2000 11.01766 27.1371 0 5.285713857
31 1 2000 11.45498 25.3118 0 5.691317607
1 2 2000 10.78527 25.63244 0 5.50457326
2 2 2000 11.48794 26.7424 0.54135793 4.574888549
3 2 2000 13.20654 27.1733 1.6657583 4.223026577
4 2 2000 13.0822 26.49838 0 4.532051757
5 2 2000 12.27133 25.41345 0.062034052 5.03808557
6 2 2000 10.25912 25.63244 0 5.231303175
7 2 2000 12.40768 27.38357 0 4.620067177
8 2 2000 11.25048 25.77767 0 3.963887288
9 2 2000 12.2604 25.79122 5.2799926 4.169977651
10 2 2000 12.9363 25.8576 0 4.695086674
11 2 2000 12.30413 25.32995 0 5.645058961
12 2 2000 11.47018 26.23812 0 5.874731153
13 2 2000 10.9999 27.17208 0 5.185938724
14 2 2000 12.80758 28.05782 0 5.200050003
15 2 2000 11.3453 26.69744 0 5.500759233
16 2 2000 11.69354 26.413 0 5.570811334
17 2 2000 10.93295 26.33676 0 5.302702057
18 2 2000 10.17974 25.8155 0 5.370264897
19 2 2000 11.4595 26.10613 0.7507282 5.313354238
20 2 2000 10.52224 26.2619 1.075204 6.101445336
21 2 2000 9.88012 26.5429 0 6.087238033
22 2 2000 11.4315 26.89297 0 5.44106753
23 2 2000 10.97778 27.93102 0 4.880954453
24 2 2000 12.54745 27.43206 0 5.429188858
25 2 2000 12.7274 28.00726 0 5.399246711
26 2 2000 12.06518 28.3088 0 4.827075265
27 2 2000 13.1624 26.7125 0.22906253 4.74432406
28 2 2000 13.2452 27.74453 0 4.324486339
29 2 2000 12.92413 24.2233 0 3.368965929
1 3 2000 12.13442 24.90328 0.43908262 3.851631884
2 3 2000 12.60757 23.77285 2.530271 3.979301541
3 3 2000 11.69778 26.49456 0 4.424216504
4 3 2000 13.36898 25.97115 4.653325 4.145768783
5 3 2000 13.32937 25.62698 0 4.902458868
6 3 2000 12.2936 27.13122 0 5.172894125
7 3 2000 12.3044 28.4428 1.5995405 5.120802703
8 3 2000 13.0083 24.8922 0.7274224 4.016031414
9 3 2000 12.88067 25.5267 0 3.926161353
10 3 2000 11.02517 26.94418 0.5276904 4.251283484
11 3 2000 13.58798 27.41146 0 4.593584799
12 3 2000 12.90515 24.77117 0 4.235342577
13 3 2000 12.11465 26.97262 0 5.077862139
14 3 2000 12.57644 29.08428 0 4.794463213
15 3 2000 13.36938 26.09765 4.4823728 4.695209512
16 3 2000 14.26565 26.74035 5.480082 4.645606615
17 3 2000 13.18603 26.03863 0.12557209 4.637769094
18 3 2000 14.061 26.67355 0 5.342740521
19 3 2000 12.10027 26.88955 0.053599466 5.208016243
20 3 2000 14.23177 26.26214 0 5.091616983
21 3 2000 13.10967 26.37597 0 5.613112834
22 3 2000 14.0946 27.14312 0 6.46616362
23 3 2000 13.17388 27.70315 0 6.031519701
24 3 2000 12.185 29.71713 0.04801842 5.611346078
25 3 2000 14.3046 26.95278 0 4.699321549
26 3 2000 13.03317 26.7327 0 4.705308335
27 3 2000 12.99926 27.27413 0 5.351016775
28 3 2000 13.9719 25.7364 0 5.113780257
29 3 2000 12.30468 28.4024 0 5.054314274
30 3 2000 14.23055 28.1887 2.5311594 4.859184894
31 3 2000 13.64703 25.3391 4.547952 4.394054962
1 4 2000 14.5068 25.54897 0 4.543076853
2 4 2000 13.09545 26.38525 0 4.852823108
3 4 2000 12.82946 28.5766 0.042464048 5.312389532
4 4 2000 14.36566 26.26873 2.0067194 3.535658609
